image,url,question,original,pnoun,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,pword,nword,pemoji,nemoji,pun1,pun2,pun3,padv,nadv,favorite_count,retweets_count,hour,level,result
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,6,-0.083333333,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,6,-0.05,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.071428571,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,4,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,0,1,0,6,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,6,-0.045454545,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,2,1,0,0,0,1,1,0,0,0,5,-0.083333333,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,5,-0.086956522,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,1,0,0,1,5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,4,0,5,1,0,5,0,5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,1,0,0,54,5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,1,0,0,54,5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,1,0,0,54,4,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,1,0,0,54,4,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,1,0,1,1,4,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,4,-0.038461538,0
